Country,Year,Exports,CPI,FDI_net,GDP,Per_Capita,Inflation,Political_Stability,Deal Making(USD)
Nigeria,2008,7178293982,78.1246436,8194071895,339476276258,2227.790349,11.58107517,-1.860711932,1800000000
Nigeria,2009,7630156153,87.91977683,8555990007,295008835381,1883.887783,12.53782773,-1.994553804,1700000000
Nigeria,2010,9490812129,100,6026253091,366990417129,2280.111289,13.74005214,-2.211123228,2200000000
Nigeria,2011,14529631106,110.8261372,8841062051,414466676831,2504.879101,10.82613719,-1.956454515,2600000000
Nigeria,2012,16656935875,124.3737916,7069908428,463971018239,2728.022788,12.2242413,-2.042073727,2700000000
Nigeria,2013,15983077800,134.93999,5562857987,520117180314,2976.756832,8.495518383,-2.088478327,2500000000
Nigeria,2014,15466373251,145.7991654,4693828632,574183763412,3200.952799,8.04741088,-2.130276442,2300000000
Nigeria,2015,16714895487,158.9348464,3064168904,493026682801,2679.554223,9.00943498,-1.921705127,2000000000
Nigeria,2016,17519660716,183.8825515,3453258408,404649125252,2144.780344,15.69681264,-1.873888969,1800000000
Nigeria,2017,20463639260,214.2273396,2412974916,375745731053,1941.879479,16.50226621,-1.996716857,2100000000
Nigeria,2018,22514781526,240.1383645,775247400,421739251509,2125.834491,12.09510652,-2.097414255,2400000000
Nigeria,2019,25592296037,267.5055467,2305099812,474517490844,2334.023642,11.39642234,-1.933071136,2500000000
Nigeria,2020,22081380379,302.9393941,2385277666,432198898468,2074.613748,13.24602343,-1.891961455,2000000000
Nigeria,2021,23901159998,354.2962423,3313210000,440838992188,2065.77441,16.95284572,-1.787299275,2200000000
Nigeria,2022,25742684856,421.0711203,-186792428.9,472624596926,2162.633732,18.84718778,-1.798141479,2300000000
