Country,Year,CPI,Exports,FDI_net,GDP,Per_Capita,Inflation,Political_Stability,Deal Making(USD)
Kenya,2008,88.0581565,35895153328,95585680.23,35895153328,915.9989157,26.23981664,-1.393615365,1500000000
Kenya,2009,96.18955755,42347217913,116257609,42347217913,1049.121794,9.234125924,-1.425580621,1600000000
Kenya,2010,100,45405615064,178064606.8,45405615064,1093.639624,3.961388891,-1.165523529,1800000000
Kenya,2011,114.0224913,46869473151,1450474757,46869473151,1099.315465,14.0224913,-1.244790792,2100000000
Kenya,2012,124.7152583,56396704672,1380173662,56396704672,1289.780791,9.377770035,-1.323441267,2300000000
Kenya,2013,131.8458452,61671440408,1118825000,61671440408,1376.829205,5.71749357,-1.166930914,2400000000
Kenya,2014,140.9144068,68285796514,820937598.4,68285796514,1489.919721,6.878154993,-1.282247186,2500000000
Kenya,2015,150.1896105,70120446897,619724465,70120446897,1496.653573,6.582154293,-1.241347909,2600000000
Kenya,2016,159.647425,74815144164,469533310.7,74815144164,1562.076619,6.297249538,-1.354456544,2700000000
Kenya,2017,172.4282386,82036510877,1346085345,82036510877,1675.988422,8.005649677,-1.128438354,3000000000
Kenya,2018,180.5147893,92202979985,767761506.7,92202979985,1845.783414,4.689806468,-1.179692149,3200000000
Kenya,2019,189.9731107,100378436207,469940266.8,100378436207,1970.08007,5.239637958,-1.105736017,3400000000
Kenya,2020,200.2414652,100657505751,426305189.4,100657505751,1936.250755,5.405162079,-1.007226825,3600000000
Kenya,2021,212.4720858,109703658905,463348935.7,109703658905,2069.661129,6.107936037,-1.032414198,3800000000
Kenya,2022,228.7471558,113419826114,393583092.1,113419826114,2099.298568,7.659862683,-0.9430872202,4000000000

