Country,Year,CPI,Exports,FDI_net,GDP,Per_Capita,Inflation,Political_Stability,Deal Making(USD)
Canada,2008,97.96078993,534150890347,18568974469,1552989690722,46710.50558,2.370270674,85.09615326,5325000000
Canada,2009,98.25414997,391985828012,16787996096,1374625142157,40876.31015,0.299466803,89.09952545,6453000000
Canada,2010,100,471736717163,6626667134,1617343367486,47562.08343,1.776871541,81.04265594,8102000000
Canada,2011,102.9121351,550163771962,11756393310,1793326630175,52223.69611,2.912135089,86.25592041,10250000000
Canada,2012,104.4719519,554964544783,12879466786,1828366481522,52669.08996,1.515678231,89.09952545,12340000000
Canada,2013,105.4522038,560108797443,-12563236013,1846597421835,52635.17496,0.9382918978,86.7298584,11200000000
Canada,2014,107.4627934,573083180254,805191688.4,1805749878440,50955.99832,1.906635907,92.85713959,12570000000
Canada,2015,108.6720092,495747450358,23927632715,1556508816217,43596.13554,1.125241361,94.2857132,14530000000
Canada,2016,110.2246709,481357649980,33404095513,1527994741907,42315.60371,1.428759547,92.85713959,13760000000
Canada,2017,111.9848311,518766780220,52829985895,1649265644244,45129.4293,1.596884129,87.14286041,15120000000
Canada,2018,114.5248998,557719627178,20156533320,1725329192783,46548.63841,2.268225672,82.54717255,17230000000
Canada,2019,116.7572982,564142104615,26965431145,1743725183673,46374.15275,1.949269024,81.60377502,18250000000
Canada,2020,117.5944476,487990676643,15817289789,1655684730000,43562.43583,0.7169996323,84.43395996,10750000000
Canada,2021,121.5870063,626659601646,31349050865,2007472181464,52515.19984,3.395193185,83.01886749,14560000000
Canada,2022,129.8583286,731555074344,29407630389,2161483369422,55522.44569,6.802801153,73.58490753,16230000000
China,2008,97.63333106,1497878483248,-114792373682,4594336785752,3468.327063,5.92525137,29.32692337,21500000000
China,2009,96.92239907,1262661203708,-87167067370,5101691124358,3832.227457,-0.7281652509,30.80568695,30560000000
China,2010,100,1654823329620,-185749835192,6087191746739,4550.473944,3.175324753,25.59241676,42340000000
China,2011,105.5538989,2006308960930,-231651578090,7551545703518,5614.386022,5.553898923,27.96208572,55230000000
China,2012,108.318909,2175069254743,-176250481637,8532185381696,6300.58218,2.619524326,27.96208572,60320000000
