Country,Year,Exports,CPI,FDI_net,GDP,Per_Capita,Inflation,Political_Stability,Deal Making(USD)
Tanzania,2008,5439934817,83.96642556,1383260000,27947821398,671.2444458,10.27839376,-0.2289338708,1000000000
Tanzania,2009,5349218508,94.16182029,952630000,29400573554,688.7103882,12.14222787,0.08918124437,900000000
Tanzania,2010,6276937179,100,1813200000,32012892919,730.7823486,6.200155956,0.01447162125,1100000000
Tanzania,2011,7497823535,112.6909695,1229361018,34657140096,768.9334106,12.69096947,-0.02413347922,1300000000
Tanzania,2012,8870630510,130.7227573,1799646137,39650394363,854.5404663,16.00109385,0.05145429075,1400000000
Tanzania,2013,8679120270,141.0115842,2087261310,45648857242,954.6588135,7.870723646,-0.1621208489,1500000000
Tanzania,2014,9032206214,149.6578707,1416088065,49986726461,1013.428772,6.13161433,-0.5971185565,1600000000
Tanzania,2015,8110109049,158.0210063,1506024896,47413919817,929.7998047,5.58816953,-0.4234606922,1400000000
Tanzania,2016,8138103521,166.198224,864040000,49774409374,942.8890381,5.174766293,-0.4482467771,1300000000
Tanzania,2017,8344707045,175.0378356,937700000,53274884533,975.9046631,5.318716052,-0.5701621771,1450000000
Tanzania,2018,8401858983,181.1544602,971576866,57003712892,1011.600159,3.494458489,-0.5805162191,1500000000
Tanzania,2019,9786702082,187.4301589,1217235252,61026731926,1050.931763,3.46428058,-0.3884414434,1600000000
Tanzania,2020,8921839002,193.5971559,943765261.7,66068737786,1104.164429,3.290290628,-0.4808181226,1550000000
Tanzania,2021,9976590469,200.7426712,1190507399,70655628148,1146.031982,3.690919588,-0.3355927765,1650000000
Tanzania,2022,11678964531,209.4755235,1264667981,75769974505,1193.359619,4.350272043,-0.2658599615,1750000000
